Familia;Proveedor;Codigo;Descripcion;Costo nuevo SIN IVA;Costo viejo SIN IVA;Costo viejo con IVA;Precio;Coef viejo
TELAS;ALHAMBRA;AL09-105;TELA ART 1291 TUSOR FOLK PUNTADA 2.70;;10732;12985,72;25320;2,359299292
TELAS;ALHAMBRA;AL09-106;TELA ART 1292 TUSOR FIDO 2.80;;10690;12934,9;25220;2,359214219
TELAS;ALHAMBRA;AL09-107;TELA ART 1293 TUSOR OSLO 2.80;;10967;13270,07;25860;2,35798304
TELAS;ALHAMBRA;AL09-108;TELA ART 1462  PANAMA  2.90;;11226;13583,46;26490;2,359700695
TELAS;ALHAMBRA;AL09-109;TELA ART 1614  MADRAZ  3.00;;10705;12953,05;25260;2,359645026
TELAS;ALHAMBRA;AL09-110;TELA ART 1633 ACRILON LISO ART 1634 RAYAS 2.80;;13552;16397,92;31970;2,359061393
TELAS;ALHAMBRA;AL09-111;TELA ART 1634 ACRILON RAYADO 2.80;;13552;16397,92;31970;2,359061393
TELAS;ALHAMBRA;AL09-112;TELA ART 2847  URBANO  3.00;;12325;14913,25;29100;2,361054767
TELAS;ALHAMBRA;AL09-113;TELA ART 3250 PREMIUM JAQUARDS 2.80;;16605;20092,05;39160;2,358325805
TELAS;ALHAMBRA;AL09-114;TELA ART 3465  GROS LISO  3.00;;6979;8444,59;16460;2,358504084
TELAS;ALHAMBRA;AL09-115;TELA ART 5076 WRINKLE MIL RAYAS 2.70;;8916;10788,36;21100;2,366532077
TELAS;ALHAMBRA;AL09-116;TELA ART 5077 WRINKLE LISO 2.70;;8634;10447,14;20360;2,358119064
TELAS;ALHAMBRA;AL09-117;TELA ART 5091 NOIA WASHED 1.60;;8006;9687,26;18760;2,343242568
TELAS;ALHAMBRA;AL09-118;TELA ART 5092 CORUÑA WASHED 1.60;;8006;9687,26;18860;2,3557332
TELAS;ALHAMBRA;AL09-119;TELA ART 5093 BETANZOS WASHED 1.60;;8006;9687,26;18860;2,3557332
TELAS;ALHAMBRA;AL09-120;TELA ART 5126 COTTON CRASH CUADROS 1.40;;6749;8166,29;15920;2,35886798
TELAS;ALHAMBRA;AL09-121;TELA 5400 TUSOR  5434 TUSOR CUADROS  2.70;;10746;13002,66;25340;2,35808673
TELAS;ALHAMBRA;AL09-122;TELA ART 5763 COTTON CRASH 2.60;;10538;12750,98;24860;2,35908142
TELAS;ALHAMBRA;AL09-123;TELA ART 5956 LINO POLIESTER PESADO 1.50;;10146;12276,66;23940;2,359550562
TELAS;ALHAMBRA;AL09-124;TELA ART 5969 LINO BAYONA 1.40;;10472;12671,12;24700;2,358670741
TELAS;ALHAMBRA;AL09-125;TELA ART 5970 LINO NAVARRA 1.40;;9261;11205,81;21860;2,360436238
TELAS;ALHAMBRA;AL09-126;TELA ART 9010  MILANO LISO  2.80;;11408;13803,68;26920;2,359747546
TELAS;ALHAMBRA;AL09-127;TELA ART 9062   RICCIA   2.80;;11409;13804,89;26900;2,357787711
TELAS;ALHAMBRA;AL09-128;TELA ART 9064   BOJANO   2.80;;11409;13804,89;26900;2,357787711
TELAS;ALHAMBRA;AL09-129;TELA ART 1409 PAPIRO 2.80;;10732;12985,72;25320;2,359299292
TELAS;ALHAMBRA;AL09-130;TELA ART 1411 PAPIRO GUARDAS 2.80;;11501;13916,21;27160;2,36153378
TELAS;ALHAMBRA;AL09-131;TELA ART 1417 ALMENDRA 1.50;;11321;13698,41;26760;2,363748785
